Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
11/5/2011,25,33,29,76,2,7,4,360,3,90
12/5/2011,26,34,29,75,0,8,4,180,3,135
13/05/2011,27,32,28,76,1,6,5,300,3,0
14/05/2011,26,32,28,76,0,4,4,90,3,0
15/05/2011,26,33,29,72,3,3,6,360,4,135
16/05/2011,24,33,27,77,0,5,4,200,3,90
17/05/2011,25,32,27,81,0,5,4,350,3,90
18/05/2011,24,32,28,76,6,7,4,360,2,315
19/05/2011,25,34,28,78,17,6,4,270,3,90
20/05/2011,25,33,28,76,0,7,5,360,3,90
21/05/2011,25,32,28,77,0,7,5,360,3,0
